Rank,Movie,ReleaseDate,Distributor,Genre,2022 Gross,Tickets Sold
166,The Deer King,"Jul 13, 2022",Fathom Events,Adventure,"$296,210","32,302"
167,Montana Story,"May 13, 2022",Bleecker Street,Drama,"$292,916","31,942"
168,Flee,"Dec 3, 2021",Neon,Documentary,"$283,487","30,914"
169,A Love Song,"Jul 29, 2022",Bleecker Street,Drama,"$278,889","30,413"
170,Mothering Sunday,"Mar 25, 2022",Sony Pictures Cla…,Drama,"$275,352","30,027"
171,Kaathu Vaakula Rendu Kadhal,"Apr 29, 2022",Hamsini,Romantic Comedy,"$270,000","29,443"
172,Gone in the Night,"Jul 15, 2022",Vertical Entertai…,Thriller/Suspense,"$266,466","29,058"
173,The Railway Children,"Sep 23, 2022",Blue Fox Entertai…,Adventure,"$265,000","28,898"
174,You Wonât Be Alone,"Apr 1, 2022",Focus Features,Horror,"$264,055","28,795"
175,The Automat,"Feb 18, 2022",A Slice of Pie Pr…,Documentary,"$255,453","27,857"
176,Till,"Oct 14, 2022",United Artists,Drama,"$240,940","26,274"
177,On the Come Up,"Sep 23, 2022",Paramount Pictures,Drama,"$236,153","25,752"
178,Who We Are: A Chronicle of …,"Jan 14, 2022",Sony Pictures Cla…,Documentary,"$234,298","25,550"
179,Sundown,"Jan 28, 2022",Bleecker Street,Thriller/Suspense,"$229,921","25,073"
180,Love in Kilnerry,"Apr 8, 2022",Archway Pictures,Romantic Comedy,"$213,101","23,238"
181,Compartment No. 6,"Jan 26, 2022",Sony Pictures Cla…,Drama,"$205,601","22,421"
182,The Silent Twins,"Sep 16, 2022",Focus Features,Drama,"$205,135","22,370"
183,Benediction,"May 27, 2022",Roadside Attractions,Drama,"$201,093","21,929"
184,Both Sides of the Blade,"Jul 8, 2022",IFC Films,Drama,"$201,047","21,924"
185,CatVideoFest 2022,"Jun 24, 2022",Oscilloscope Pict…,Documentary,"$196,768","21,457"
186,Neptune Frost,"Jun 3, 2022",Kino Lorber,Musical,"$188,081","20,510"
187,Inland Empire,"Dec 6, 2006",518 Media,Drama,"$186,470","20,334"
188,Too Cool to Kill,"Feb 18, 2022",Well Go USA,Comedy,"$185,882","20,270"
189,Dual,"Apr 15, 2022",RLJ Entertainment,Thriller/Suspense,"$185,212","20,197"
190,Hatching,"Apr 29, 2022",IFC Midnight,Horror,"$182,925","19,948"
191,Happening,"May 6, 2022",IFC Films,Drama,"$181,023","19,740"
192,UFC 273: Volkanovski vs. Th…,"Apr 9, 2022",Iconic Releasing,Concert/Perfor…,"$180,000","19,629"
193,Jazz Fest: A New Orleans Story,"May 13, 2022",Sony Pictures Cla…,Documentary,"$179,005","19,520"
194,Eternals,"Nov 5, 2021",Walt Disney,Action,"$175,832","19,174"
195,Alienoid,"Aug 26, 2022",Well Go USA,Action,"$168,309","18,354"
196,Virata Parvam,"Jun 17, 2022",,Thriller/Suspense,"$165,000","17,993"
197,Vortex,"Apr 29, 2022",Utopia,Drama,"$160,892","17,545"
198,Resurrection,"Jul 29, 2022",IFC Films,Thriller/Suspense,"$160,866","17,542"
199,The Conversation,"Apr 7, 1974",Paramount Pictures,Thriller/Suspense,"$154,909","16,893"
200,Hockeyland,"Sep 9, 2022",Greenwich,Documentary,"$151,292","16,498"
201,Hit the Road,"Apr 22, 2022",Kino Lorber,Drama,"$151,018","16,468"
202,"My Donkey, My Lover & I","Jul 22, 2022",Greenwich,Comedy,"$149,621","16,316"
203,The French Dispatch,"Oct 22, 2021",Searchlight Pictures,Comedy,"$147,605","16,096"
204,Firebird,"Apr 29, 2022",Roadside Attractions,Drama,"$144,118","15,716"
205,The Witch 2: The Other One,"Jun 17, 2022",Well Go USA,Horror,"$143,723","15,673"
206,The Killer,"Jul 13, 2022",Wide Lens Pictures,Action,"$134,716","14,690"
207,Gabby Giffords Wonât Back D…,"Jul 15, 2022",Briarcliff Entert…,Documentary,"$134,098","14,623"
208,Lost Illusions,"Jun 10, 2022",Music Box Films,Drama,"$126,391","13,783"
209,Gamestop: Rise of the Players,"Jan 28, 2022",Super LTD,Documentary,"$126,297","13,772"
210,Diva,"Mar 26, 1982",MGM,Thriller/Suspense,"$122,715","13,382"
211,The Storied Life of A.J. Fikry,"Oct 7, 2022",Vertical Entertai…,Romantic Comedy,"$121,000","13,195"
212,A Silent Voice,"Jan 31, 2019",Eleven Arts,Drama,"$120,250","13,113"
213,Pompo: The CinÃ©phile,"Apr 27, 2022",GKIDS,Comedy,"$120,119","13,099"
214,The Rose Maker,"Apr 1, 2022",Music Box Films,Comedy,"$119,160","12,994"
215,No Time to Die,"Oct 8, 2021",United Artists,Action,"$119,000","12,977"
216,Heropanti 2,"Apr 29, 2022",Viva Entertainment,Action,"$115,000","12,540"
217,Green Ghost & The Masters O…,"Apr 29, 2022",Gravitas Ventures,Action,"$113,687","12,397"
218,Pleasure,"May 13, 2022",Neon,Drama,"$106,789","11,645"
219,Jockey,"Dec 29, 2021",Sony Pictures Cla…,Drama,"$104,820","11,430"
220,My Old School,"Jul 22, 2022",Magnolia Pictures,Documentary,"$103,966","11,337"
221,I Love My Dad,"Aug 5, 2022",Magnolia Pictures,Comedy,"$101,508","11,069"
222,Weâre All Going to the Worl…,"Apr 15, 2022",Utopia,Horror,"$101,178","11,033"
223,Gold,"Mar 11, 2022",Screen Media Films,Thriller/Suspense,"$100,197","10,926"
224,The Velvet Queen,"Dec 22, 2021",Oscilloscope Pict…,Documentary,"$99,045","10,800"
225,Abandoned,"Jun 17, 2022",Vertical Entertai…,Horror,"$96,761","10,551"
226,Strawberry Mansion,"Feb 18, 2022",Music Box Films,Comedy,"$96,756","10,551"
227,Decision to Leave,"Oct 14, 2022",MUBI,Drama,"$90,729","9,894"
228,Three Minutes - A Lengthening,"Aug 19, 2022",Super LTD,Documentary,"$90,144","9,830"
229,"Goodbye, Don Glees!","Sep 16, 2022",GKIDS,Adventure,"$86,610","9,444"
230,UnFavorable Odds,"Sep 9, 2022",Atlas Distribution,Romantic Comedy,"$86,203","9,400"
231,All My Puny Sorrows,"Apr 15, 2022",Mongrel Media,Drama,"$84,735","9,240"
232,All My Friends Hate Me,"Mar 11, 2022",Super LTD,Comedy,"$80,405","8,768"
233,Butter,"Feb 25, 2022",Blue Fox Entertai…,Drama,"$78,450","8,555"
234,"Paris, 13th District","Apr 15, 2022",IFC Films,Drama,"$73,118","7,973"
235,Great Freedom,"Mar 4, 2022",MUBI,Drama,"$71,946","7,845"
236,The Territory,"Aug 19, 2022",National Geograph…,Documentary,"$69,316","7,558"
237,Maika: The Girl From Anothe…,"Jun 3, 2022",Well Go USA,Adventure,"$69,257","7,552"
238,Sharp Stick,"Jul 29, 2022",Utopia,Comedy,"$68,598","7,480"
239,The Discreet Charm of the B…,"May 12, 2000",,Comedy,"$67,999","7,415"
240,Freakscene â The Story of D…,"May 27, 2022",Utopia,Documentary,"$66,038","7,201"
241,Le temps des secrets,"Apr 1, 2022",Mongrel Media,Drama,"$64,248","7,006"
242,Apocalypse Now,"Aug 15, 1979",United Artists,Action,"$63,914","6,969"
243,Hold Me Tight,"Sep 9, 2022",Kino Lorber,Drama,"$61,942","6,754"
244,Summering,"Aug 12, 2022",Bleecker Street,Drama,"$57,770","6,299"
245,See For Me,"Jan 7, 2022",IFC Midnight,Thriller/Suspense,"$55,191","6,018"
246,On the Count of Three,"May 13, 2022",United Artists,Drama,"$54,515","5,944"
247,Ahedâs Knee,"Mar 18, 2022",Kino Lorber,Drama,"$52,702","5,747"
248,Memoria,"Apr 1, 2022",Neon,Drama,"$52,656","5,742"
249,Free Chol Soo Lee,"Aug 12, 2022",MUBI,Documentary,"$50,083","5,461"
250,Poly Styrene: I Am a ClichÃ©,"Feb 2, 2022",Utopia,Documentary,"$48,544","5,293"
251,Murina,"Jul 8, 2022",Kino Lorber,Drama,"$47,681","5,199"
252,Lux Aeterna,"May 6, 2022",Yellow Veil Pictures,Thriller/Suspense,"$47,039","5,129"
253,Give Me Five,"Sep 23, 2022",Well Go USA,Comedy,"$47,033","5,129"
254,After Yang,"Mar 4, 2022",A24,Drama,"$46,872","5,111"
