Rank,Movie,ReleaseDate,Distributor,Genre,2022 Gross,Tickets Sold
325,The Torch,"Mar 18, 2022",IFC Films,Documentary,"$9,459","1,031"
326,Learn to Swim,"Mar 25, 2022",Mongrel Media,Drama,"$9,294","1,013"
327,Julia,"Nov 12, 2021",Sony Pictures Cla…,Documentary,"$9,246","1,008"
328,In Front of Your Face,"May 6, 2022",Cinema Guild,Drama,"$9,150",997
329,Sirens,"Sep 30, 2022",Oscilloscope Pict…,Documentary,"$8,950",976
330,About Fate,"Sep 9, 2022",United Artists,Romantic Comedy,"$8,688",947
331,Burial,"Sep 2, 2022",IFC Midnight,Thriller/Suspense,"$8,566",934
332,Almaâs Rainbow,"Jun 23, 1994",Xenon Pictures,Comedy,"$8,156",889
333,Hold Your Fire,"May 20, 2022",IFC Films,Documentary,"$7,502",818
334,Mau,"May 13, 2022",Greenwich,Documentary,"$7,500",817
335,Alter Ego,"Jan 14, 2022",Indican Pictures,Thriller/Suspense,"$7,390",805
336,Gossamer Folds,"Aug 12, 2022",Indican Pictures,Drama,"$7,113",775
337,Iâve Heard the Mermaids Sin…,"Mar 11, 2022",Kino Lorber,Comedy,"$6,840",745
338,Kamikaze Hearts,"Nov 30, 1986",Facets,Drama,"$6,669",727
339,Fiddlerâs Journey to the Bi…,"Apr 29, 2022",Zeitgeist,Documentary,"$6,318",688
340,"Hello, Bookstore","Apr 29, 2022",Greenwich,Documentary,"$6,000",654
341,Italian Studies,"Jan 14, 2022",Magnolia Pictures,Drama,"$5,895",642
342,A Taste of Hunger,"Jan 28, 2022",Magnolia Pictures,Drama,"$5,860",639
343,The Story of Film: A New Ge…,"Sep 9, 2022",Music Box Films,Documentary,"$5,778",630
344,A Banquet,"Feb 18, 2022",IFC Midnight,Thriller/Suspense,"$5,238",571
345,Saloum,"Sep 2, 2022",IFC Midnight,Thriller/Suspense,"$5,078",553
346,Mondocane,"May 20, 2022",Kino Lorber,Thriller/Suspense,"$4,927",537
347,The Gravedigger,"Mar 25, 2022",Indican Pictures,Horror,"$4,726",515
348,A Man of Integrity,"Jun 17, 2022",Big World Pictures,Drama,"$4,499",490
349,a-ha: The Movie,"Apr 8, 2022",Lightyear Enterta…,Documentary,"$4,258",464
350,Luzzu,"Oct 15, 2021",Kino Lorber,Drama,"$3,996",435
351,Carmen,"Sep 23, 2022",Good Deed Enterta…,Drama,"$3,927",428
352,The Novice,"Dec 17, 2021",IFC Films,Thriller/Suspense,"$3,802",414
353,Adventures in Success,"Mar 4, 2022",Utopia,Comedy,"$3,695",402
354,Last Flight Home,"Oct 7, 2022",MTV Documentary F…,Documentary,"$3,670",400
355,Into the Weeds,"May 20, 2022",Mongrel Media,Documentary,"$3,410",371
356,Carp-e Diem,"Sep 16, 2022",Indican Pictures,Comedy,"$3,364",366
357,Bloom Up: A Swinger Couple …,"Aug 12, 2022",Kino Lorber,Documentary,"$3,107",338
358,Highway One,"Aug 26, 2022",Indican Pictures,Drama,"$3,063",334
359,The Modern Way,"Sep 16, 2022",Indican Pictures,Drama,"$3,059",333
360,Apples,"Jun 24, 2022",Cohen Media Group,Comedy,"$2,934",319
361,Ultrasound,"Mar 11, 2022",Magnet Releasing,Thriller/Suspense,"$2,908",317
362,Golden Voices,"Oct 8, 2021",Music Box Films,Romantic Comedy,"$2,305",251
363,Stanleyville,"Apr 22, 2022",Oscilloscope Pict…,Comedy,"$2,137",233
364,Kill Devil Hills,"Jun 4, 2022",Sumbadhat Product…,Horror,"$2,022",220
365,BâTwixt Now and Sunrise,"Sep 30, 2022",Rialto Pictures,Horror,"$1,996",217
366,Rubikon,"Jul 1, 2022",IFC Midnight,Thriller/Suspense,"$1,843",200
367,Petite fille,"Sep 17, 2021",Music Box Films,Documentary,"$1,122",122
368,Veneciafrenia,"Aug 12, 2022",Sony Pictures,Adventure,"$1,006",109
369,Losing Ground,"Oct 7, 2022",Kino Lorber,Drama,"$1,006",109
370,Sniper: The White Raven,"Jul 1, 2022",Well Go USA,Drama,$881,96
371,Terror on the Prairie,"Aug 10, 2022",The Daily Wire,Western,$804,87
372,Sensational Short Films,"Sep 11, 2022",,Multiple Genres,$637,69
373,Found Wandering Lost,"Jan 27, 2022",Mutiny Pictures,Drama,$570,62
374,The Burning Sea,"Feb 25, 2022",Magnet Releasing,Action,$493,53
375,Indemnity,"Feb 11, 2022",Magnet Releasing,Action,$347,37
Total Gross of All Movies,"$5,862,714,928",,,,,
Total Tickets Sold,"639,336,226",,,,,
